央视,#genre#
CCTV1,http://[2402:4e00:1420:a00:6d8:79ae:eac2:0]:48788/edge-cache02.live3.omd.sc96655.com/live/CCTV-1H265_4000.m3u8
CCTV2,http://[2402:4e00:1420:a00:6d8:79ae:eac2:0]:48788/edge-cache02.live3.omd.sc96655.com/live/CCTV-2H265_4000.m3u8
CCTV3,http://[2402:4e00:1420:a00:6d8:79ae:eac2:0]:48788/edge-cache02.live3.omd.sc96655.com/live/CCTV-3H265_4000.m3u8
CCTV4,http://[2402:4e00:1420:a00:6d8:79ae:eac2:0]:48788/edge-cache02.live3.omd.sc96655.com/live/CCTV-4H265_4000.m3u8
CCTV5,http://[2402:4e00:1420:a00:6d8:79ae:eac2:0]:48788/edge-cache02.live3.omd.sc96655.com/live/CCTV-5H265_4000.m3u8
CCTV5+,http://[2402:4e00:1420:a00:6d8:79ae:eac2:0]:48788/edge-cache02.live3.omd.sc96655.com/live/CCTV-5plusH265_4000.m3u8
CCTV6,http://[2402:4e00:1420:a00:6d8:79ae:eac2:0]:48788/edge-cache02.live3.omd.sc96655.com/live/CCTV-6H265_4000.m3u8
CCTV7,http://[2402:4e00:1420:a00:6d8:79ae:eac2:0]:48788/edge-cache02.live3.omd.sc96655.com/live/CCTV-7H265_4000.m3u8
CCTV8,http://[2402:4e00:1420:a00:6d8:79ae:eac2:0]:48788/edge-cache02.live3.omd.sc96655.com/live/CCTV-8H265_4000.m3u8
CCTV9,http://[2402:4e00:1420:a00:6d8:79ae:eac2:0]:48788/edge-cache02.live3.omd.sc96655.com/live/CCTV-9H265_4000.m3u8
CCTV10,http://[2402:4e00:1420:a00:6d8:79ae:eac2:0]:48788/edge-cache02.live3.omd.sc96655.com/live/CCTV-10H265_4000.m3u8
CCTV11,http://[2402:4e00:1420:a00:6d8:79ae:eac2:0]:48788/edge-cache02.live3.omd.sc96655.com/live/CCTV-11-H265_4000.m3u8
CCTV12,http://[2402:4e00:1420:a00:6d8:79ae:eac2:0]:48788/edge-cache02.live3.omd.sc96655.com/live/CCTV-12H265_4000.m3u8
CCTV13,http://[2402:4e00:1420:a00:6d8:79ae:eac2:0]:48788/edge-cache02.live3.omd.sc96655.com/live/CCTV-xw_4000.m3u8
CCTV14,http://[2402:4e00:1420:a00:6d8:79ae:eac2:0]:48788/edge-cache02.live3.omd.sc96655.com/live/CCTV-14H265_4000.m3u8
CCTV15,http://[2402:4e00:1420:a00:6d8:79ae:eac2:0]:48788/edge-cache02.live3.omd.sc96655.com/live/CCTV-15-yyH265_4000.m3u8
CCTV16,http://[2402:4e00:1420:a00:6d8:79ae:eac2:0]:48788/edge-cache02.live3.omd.sc96655.com/live/CCTV-16_4000.m3u8
CCTV16-4k,http://[2402:4e00:1420:a00:6d8:79ae:eac2:0]:48788/edge-cache02.live3.omd.sc96655.com/live/CCTV-16-4K_8000.m3u8
CCTV17,http://[2402:4e00:1420:a00:6d8:79ae:eac2:0]:48788/edge-cache02.live3.omd.sc96655.com/live/CCTV-17_4000.m3u8
卫视,#genre#
北京卫视,http://[2402:4e00:1420:a00:6d8:79ae:eac2:0]:48788/edge-cache02.live3.omd.sc96655.com/live/bjwsH265_4000.m3u8
东方卫视,http://[2402:4e00:1420:a00:6d8:79ae:eac2:0]:48788/edge-cache02.live3.omd.sc96655.com/live/dfwsH265_4000.m3u8
天津卫视,http://[2402:4e00:1420:a00:6d8:79ae:eac2:0]:48788/edge-cache02.live3.omd.sc96655.com/live/tjwsH265_4000.m3u8
重庆卫视,http://[2402:4e00:1420:a00:6d8:79ae:eac2:0]:48788/edge-cache02.live3.omd.sc96655.com/live/cqwsH265_4000.m3u8
黑龙江卫视,http://[2402:4e00:1420:a00:6d8:79ae:eac2:0]:48788/edge-cache02.live3.omd.sc96655.com/live/hljwsH265_4000.m3u8
吉林卫视,http://[2402:4e00:1420:a00:6d8:79ae:eac2:0]:48788/edge-cache02.live3.omd.sc96655.com/live/jlwsH265_4000.m3u8
辽宁卫视,http://[2402:4e00:1420:a00:6d8:79ae:eac2:0]:48788/edge-cache02.live3.omd.sc96655.com/live/lnwsHDH264_4000.m3u8
内蒙古卫视,http://[2402:4e00:1420:a00:6d8:79ae:eac2:0]:48788/edge-cache02.live3.omd.sc96655.com/live/nmgws_4000.m3u8
甘肃卫视,http://[2402:4e00:1420:a00:6d8:79ae:eac2:0]:48788/edge-cache02.live3.omd.sc96655.com/live/gsws_4000.m3u8
青海卫视,http://[2402:4e00:1420:a00:6d8:79ae:eac2:0]:48788/edge-cache02.live3.omd.sc96655.com/live/qhwsH264_2000.m3u8
陕西卫视,http://[2402:4e00:1420:a00:6d8:79ae:eac2:0]:48788/edge-cache02.live3.omd.sc96655.com/live/sxws_4000.m3u8
山西卫视,http://[2402:4e00:1420:a00:6d8:79ae:eac2:0]:48788/edge-cache02.live3.omd.sc96655.com/live/sxws42_4000.m3u8
山东卫视,http://[2402:4e00:1420:a00:6d8:79ae:eac2:0]:48788/edge-cache02.live3.omd.sc96655.com/live/sdwsH265_4000.m3u8
安徽卫视,http://[2402:4e00:1420:a00:6d8:79ae:eac2:0]:48788/edge-cache02.live3.omd.sc96655.com/live/ahwsH265_4000.m3u8
河南卫视,http://[2402:4e00:1420:a00:6d8:79ae:eac2:0]:48788/edge-cache02.live3.omd.sc96655.com/live/hnws35_4000.m3u8
湖北卫视,http://[2402:4e00:1420:a00:6d8:79ae:eac2:0]:48788/edge-cache02.live3.omd.sc96655.com/live/hbwsH265_4000.m3u8
湖南卫视,http://[2402:4e00:1420:a00:6d8:79ae:eac2:0]:48788/edge-cache02.live3.omd.sc96655.com/live/hnwsH265_4000.m3u8
江西卫视,http://[2402:4e00:1420:a00:6d8:79ae:eac2:0]:48788/edge-cache02.live3.omd.sc96655.com/live/jxwsH265_4000.m3u8
江苏卫视,http://[2402:4e00:1420:a00:6d8:79ae:eac2:0]:48788/edge-cache02.live3.omd.sc96655.com/live/jswsH265_4000.m3u8
浙江卫视,http://[2402:4e00:1420:a00:6d8:79ae:eac2:0]:48788/edge-cache02.live3.omd.sc96655.com/live/zjwsH265_4000.m3u8
东南卫视,http://[2402:4e00:1420:a00:6d8:79ae:eac2:0]:48788/edge-cache02.live3.omd.sc96655.com/live/dnwsfjwsH265_4000.m3u8
广东卫视,http://[2402:4e00:1420:a00:6d8:79ae:eac2:0]:48788/edge-cache02.live3.omd.sc96655.com/live/gdwsH265_4000.m3u8
深圳卫视,http://[2402:4e00:1420:a00:6d8:79ae:eac2:0]:48788/edge-cache02.live3.omd.sc96655.com/live/szwsH265_4000.m3u8
广西卫视,http://[2402:4e00:1420:a00:6d8:79ae:eac2:0]:48788/edge-cache02.live3.omd.sc96655.com/live/gxws_4000.m3u8
云南卫视,http://[2402:4e00:1420:a00:6d8:79ae:eac2:0]:48788/edge-cache02.live3.omd.sc96655.com/live/ynws_4000.m3u8
贵州卫视,http://[2402:4e00:1420:a00:6d8:79ae:eac2:0]:48788/edge-cache02.live3.omd.sc96655.com/live/gzwsH265_4000.m3u8
四川卫视,http://[2402:4e00:1420:a00:6d8:79ae:eac2:0]:48788/edge-cache02.live3.omd.sc96655.com/live/scwsH265_4000.m3u8
康巴卫视,http://[2402:4e00:1420:a00:6d8:79ae:eac2:0]:48788/edge-cache02.live3.omd.sc96655.com/live/kbwsH264_2000.m3u8
新疆卫视,http://[2402:4e00:1420:a00:6d8:79ae:eac2:0]:48788/edge-cache02.live3.omd.sc96655.com/live/xjws_4000.m3u8
兵团卫视,http://[2402:4e00:1420:a00:6d8:79ae:eac2:0]:48788/edge-cache02.live3.omd.sc96655.com/live/btws_4000.m3u8
西藏卫视,http://[2402:4e00:1420:a00:6d8:79ae:eac2:0]:48788/edge-cache02.live3.omd.sc96655.com/live/xzwsH264_2000.m3u8
海南卫视,http://[2402:4e00:1420:a00:6d8:79ae:eac2:0]:48788/edge-cache02.live3.omd.sc96655.com/live/hnws_4000.m3u8

数字付费,#genre#
CCTV4K,http://[2402:4e00:1420:a00:6d8:79ae:eac2:0]:48788/edge-cache02.live3.omd.sc96655.com/live/ys4Kcq_2000.m3u8
CHC影迷电影,http://[2402:4e00:1420:a00:6d8:79ae:eac2:0]:48788/edge-cache02.live3.omd.sc96655.com/live/lnwsCHC-HDH265_4000.m3u8
CHC动作电影,http://[2402:4e00:1420:a00:6d8:79ae:eac2:0]:48788/edge-cache02.live3.omd.sc96655.com/live/wqCHCdzdyH265_4000.m3u8
CHC家庭影院,http://[2402:4e00:1420:a00:6d8:79ae:eac2:0]:48788/edge-cache02.live3.omd.sc96655.com/live/jbtygqCHCjtyyH265_4000.m3u8
中央新影-老故事,http://[2402:4e00:1420:a00:6d8:79ae:eac2:0]:48788/edge-cache02.live3.omd.sc96655.com/live/lgs_2000.m3u8
重温经典,http://[2402:4e00:1420:a00:6d8:79ae:eac2:0]:48788/edge-cache02.live3.omd.sc96655.com/live/CWJD_4000.m3u8
凤凰中文,http://[2402:4e00:1420:a00:6d8:79ae:eac2:0]:48788/edge-cache02.live3.omd.sc96655.com/live/test1_4000.m3u8
凤凰资讯,http://[2402:4e00:1420:a00:6d8:79ae:eac2:0]:48788/edge-cache02.live3.omd.sc96655.com/live/test2_4000.m3u8
梨园频道,http://[2402:4e00:1420:a00:6d8:79ae:eac2:0]:48788/edge-cache02.live3.omd.sc96655.com/live/ly_4000.m3u8
CCTV1,http://[2402:4e00:1420:a00:6d8:79ae:eac2:0]:48788/edge-cache02.live3.omd.sc96655.com/live/CCTV-1H265_4000.m3u8
CCTV2,http://[2402:4e00:1420:a00:6d8:79ae:eac2:0]:48788/edge-cache02.live3.omd.sc96655.com/live/CCTV-2H265_4000.m3u8
CCTV3,http://[2402:4e00:1420:a00:6d8:79ae:eac2:0]:48788/edge-cache02.live3.omd.sc96655.com/live/CCTV-3H265_4000.m3u8
CCTV4,http://[2402:4e00:1420:a00:6d8:79ae:eac2:0]:48788/edge-cache02.live3.omd.sc96655.com/live/CCTV-4H265_4000.m3u8
CCTV5,http://[2402:4e00:1420:a00:6d8:79ae:eac2:0]:48788/edge-cache02.live3.omd.sc96655.com/live/CCTV-5H265_4000.m3u8
CCTV5+,http://[2402:4e00:1420:a00:6d8:79ae:eac2:0]:48788/edge-cache02.live3.omd.sc96655.com/live/CCTV-5plusH265_4000.m3u8
CCTV6,http://[2402:4e00:1420:a00:6d8:79ae:eac2:0]:48788/edge-cache02.live3.omd.sc96655.com/live/CCTV-6H265_4000.m3u8
CCTV7,http://[2402:4e00:1420:a00:6d8:79ae:eac2:0]:48788/edge-cache02.live3.omd.sc96655.com/live/CCTV-7H265_4000.m3u8
CCTV8,http://[2402:4e00:1420:a00:6d8:79ae:eac2:0]:48788/edge-cache02.live3.omd.sc96655.com/live/CCTV-8H265_4000.m3u8
CCTV9,http://[2402:4e00:1420:a00:6d8:79ae:eac2:0]:48788/edge-cache02.live3.omd.sc96655.com/live/CCTV-9H265_4000.m3u8
CCTV10,http://[2402:4e00:1420:a00:6d8:79ae:eac2:0]:48788/edge-cache02.live3.omd.sc96655.com/live/CCTV-10H265_4000.m3u8
CCTV11,http://[2402:4e00:1420:a00:6d8:79ae:eac2:0]:48788/edge-cache02.live3.omd.sc96655.com/live/CCTV-11-H265_4000.m3u8
